Location, Ecosystem type, Method, Note, Reference, WFPS(%),f_N2O_nit,f_N2O_denit,f_N2O_red,f_N2O_nit,f_N2O_nit,f_N2O_red,f_N2O_red,f_N2O_red,f_N2O_red,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,98.200,0.405,0.595,0.016666667,0.38,0.43,﻿0.13,0.01,0.03,0.01,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,97.2,0.54,0.46,0.06,0.5,0.58,0.18,0.01,0.04,0.01,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,95.3,0.36,0.64,0.1725,0.36,0.36,0.41,0.14,0.1,0.04,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,93.2,0.3,0.7,0.4725,0.35,0.25,0.21,0.11,0.81,0.76,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,90.2,0.52,0.48,0.07,0.51,0.53,0.19,0.01,0.07,0.01,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,87.7,0.255,0.745,0.4425,0.37,0.14,0.36,0.26,0.64,0.51,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,85.5,0.325,0.675,0.0425,0.41,0.24,0.01,0.02,0.12,0.02,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,73.8,0.255,0.745,0.1925,0.36,0.15,0.21,0.12,0.28,0.16,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,70.3,0.395,0.605,0.0575,0.4,0.39,0.15,0.01,0.06,0.01,,,,,,,70.7±3.6,,,62.3±6.6,,,60.0±2.0,,,55.8±1.1
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,66,0.555,0.445,0.11,0.53,0.58,0.32,0.01,0.1,0.01,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,64.1,0.51,0.49,0.11,0.42,0.6,0.38,0.01,0.04,0.01,,,,,,,,,,,,,,,,
Fendt German,Grassland,Chamber stable isotope,Several methods used - mean reported here,Ibraim et al. 2019,58.8,0.27,0.73,0.395,0.41,0.13,0.21,0.14,0.7,0.53,,,,,,,,,,,,,,,,
Chamau Switzerand,Grassland,TREX stable isotope,Estimated from figures,Wolf et al. 2015,40,0.1,0.9,0.59343034,,,,,,,,,,,,,,,,,,,,,,
Chamau Switzerand,Grassland,TREX stable isotope,Estimated from figures,Wolf et al. 2015,50,0.1,0.9,0.850431381,,,,,,,,,,,,,,,,,,,,,,
Chamau Switzerand,Grassland,TREX stable isotope,Estimated from figures,Wolf et al. 2015,60,0.1,0.9,0.94497678,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,DS-AWD,Verhoeven et al. 2019,80,0.25,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,DS-AWD,Verhoeven et al. 2019,70,0.5,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,DS-AWD,Verhoeven et al. 2019,80,0.25,0.75,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,DS-AWD,Verhoeven et al. 2019,70,0.3,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,DS-AWD,Verhoeven et al. 2019,60,0.75,0.25,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,DS-AWD,Verhoeven et al. 2019,90,0.25,0.75,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.2,0.8,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.5,0.5,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.7,0.3,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.4,0.6,0.95,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-AWD,Verhoeven et al. 2019,90,0.7,0.3,0.75,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.2,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.5,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.5,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.6,0.4,0.9,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.7,0.3,0.85,,,,,,,,,,,,,,,,,,,,,,
Pavia Italy,Rice paddy,Flasks and IRMS,WS-FLD,Verhoeven et al. 2019,90,0.6,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,5,0.25,0.75,0,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,10,0.25,0.75,0,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,15,0.3,0.7,0.122807018,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,20,0.3,0.7,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,25,0.2,0.8,0.145299145,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,30,0.1,0.9,0,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,35,0.3,0.7,0.090909091,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,40,0.3,0.7,0.038461538,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,45,0.25,0.75,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,50,0.3,0.7,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,55,0.2,0.8,0.047619048,,,,,,,,,,,,,,,,,,,,,,
Innsbruck Austria,Grassland,Chamber stable isotope,My study,Harris et al. 2020,60,0.2,0.8,0.047619048,,,,,,,,,,,,,,,,,,,,,,